date,value,ma_short,ma_long
2014-01-02,69.955,69.955,69.955
2014-01-03,87.58,78.7675,78.7675
2014-01-04,,78.7675,78.7675
2014-01-05,,78.7675,78.7675
2014-01-06,87.79,81.77499999999999,81.77499999999999
2014-01-07,52.93,76.10000000000001,74.56375
2014-01-08,88.42,76.38000000000001,77.33500000000001
2014-01-09,86.0,78.785,78.77916666666667
2014-01-10,53.57,73.742,75.17785714285715
2014-01-11,,70.23,75.17785714285715
2014-01-12,,75.99666666666668,75.17785714285715
2014-01-13,53.22,64.26333333333334,72.433125
2014-01-14,86.45,64.41333333333334,73.99055555555555
2014-01-15,87.08,75.58333333333333,75.2995
2014-01-16,153.75,95.125,82.43136363636364
2014-01-17,53.84,86.86800000000001,80.04875
2014-01-18,,95.28,80.04875
2014-01-19,,98.22333333333334,80.04875
2014-01-20,,103.79500000000002,80.04875
2014-01-21,54.42,54.13,78.0773076923077
2014-01-22,92.24,73.33,79.08892857142857
2014-01-23,53.77,66.81,77.93285714285716
2014-01-24,53.7,63.5325,75.51285714285714
2014-01-25,,63.5325,75.51285714285714
2014-01-26,,66.57,75.51285714285714
2014-01-27,89.37,65.61333333333333,75.62571428571428
2014-01-28,74.26,72.44333333333333,77.14928571428571
2014-01-29,73.71,79.11333333333333,76.09857142857142
2014-01-30,55.14,73.12,73.89428571428572
2014-01-31,74.69,73.434,75.40285714285714
2014-02-01,,69.45,75.40285714285714
2014-02-02,,67.84666666666668,75.40285714285714
2014-02-03,54.8,61.54333333333333,75.51571428571428
2014-02-04,55.38,61.623333333333335,73.29642857142856
2014-02-05,55.78,55.32,71.06071428571428
2014-02-06,56.48,55.61,64.11285714285715
2014-02-07,94.25,63.338,66.99928571428572
2014-02-08,,65.4725,66.99928571428572
2014-02-09,,68.83666666666666,66.99928571428572
2014-02-10,94.43,81.72,68.828
2014-02-11,58.03,82.23666666666666,69.06866666666666
2014-02-12,58.21,70.22333333333334,66.8
2014-02-13,95.64,76.5775,69.59133333333334
2014-02-14,58.58,72.978,69.91666666666667
2014-02-15,,67.615,69.91666666666667
2014-02-16,,70.80999999999999,69.91666666666667
2014-02-17,,77.10999999999999,68.52714285714286
2014-02-18,59.0,58.79,67.43714285714286
2014-02-19,100.01,79.505,69.3157142857143
2014-02-20,100.03,86.34666666666668,72.52214285714285
2014-02-21,100.81,89.9625,74.38785714285714
2014-02-22,,89.9625,74.38785714285714
2014-02-23,,100.28333333333335,74.38785714285714
2014-02-24,101.79,100.87666666666667,77.74428571428572
2014-02-25,101.25,101.28333333333335,81.02071428571428
2014-02-26,100.08,101.04,84.18499999999999
2014-02-27,101.16,101.07,87.37642857142858
2014-02-28,102.29,101.314,87.95071428571428
2014-03-01,,101.195,87.95071428571428
2014-03-02,,101.17666666666666,87.95071428571428
2014-03-03,100.72,101.38999999999999,88.39999999999999
2014-03-04,101.97,101.66000000000001,91.53857142857143
2014-03-05,100.4,101.03000000000002,94.55214285714285
2014-03-06,100.18,100.8175,94.87642857142858
2014-03-07,100.65,100.784,97.88142857142859
2014-03-08,,100.80000000000001,97.88142857142859
2014-03-09,,100.41000000000001,97.88142857142859
2014-03-10,101.8,100.87666666666667,98.14266666666667
2014-03-11,100.66,101.03666666666668,100.92000000000002
2014-03-12,100.76,101.07333333333334,100.97
2014-03-13,57.9,90.28,98.16133333333332
2014-03-14,102.35,92.694,98.264
2014-03-15,,90.4175,98.264
2014-03-16,,87.00333333333334,98.264
2014-03-17,103.01,87.75333333333333,98.34533333333334
2014-03-18,104.3,103.21999999999998,98.54866666666666
2014-03-19,103.14,103.48333333333333,98.75266666666668
2014-03-20,103.4,103.4625,98.902
2014-03-21,103.29,103.428,98.96866666666666
2014-03-22,,103.5325,98.96866666666666
2014-03-23,,103.27666666666666,98.96866666666666
2014-03-24,102.48,103.05666666666667,99.086
2014-03-25,57.83,87.86666666666667,96.14333333333335
2014-03-26,95.29,85.2,95.80266666666667
2014-03-27,96.84,88.11,95.58
2014-03-28,57.39,81.96600000000001,92.696
2014-03-29,,76.8375,92.696
2014-03-30,,83.17333333333335,92.696
2014-03-31,96.97,83.73333333333333,92.37400000000001
2014-04-01,98.65,84.33666666666667,92.24
2014-04-02,59.22,84.94666666666667,89.47066666666666
2014-04-03,74.92,82.44,90.60533333333335
2014-04-04,73.28,80.608,88.66733333333333
2014-04-05,,76.51750000000001,88.66733333333333
2014-04-06,,69.14,88.66733333333333
2014-04-07,101.41,83.20333333333333,88.56066666666668
2014-04-08,72.77,82.48666666666666,86.45866666666667
2014-04-09,104.84,93.00666666666666,86.57199999999999
2014-04-10,102.51,95.38250000000001,86.51266666666668
2014-04-11,164.82,109.27000000000001,90.61466666666666
2014-04-12,,111.235,90.61466666666666
2014-04-13,,124.05666666666667,90.61466666666666
2014-04-14,72.24,113.19000000000001,88.59866666666667
2014-04-15,102.87,113.31,91.60133333333333
2014-04-16,103.57,92.89333333333333,92.15333333333334
2014-04-17,104.72,95.85,92.67866666666667
2014-04-18,,95.85,95.19928571428571
2014-04-19,,103.71999999999998,95.19928571428571
2014-04-20,,104.14499999999998,95.19928571428571
2014-04-21,71.33,88.025,93.36785714285713
2014-04-22,70.96,71.145,91.39
2014-04-23,105.58,82.62333333333333,94.70142857142856
2014-04-24,71.43,79.825,94.45214285714285
2014-04-25,105.25,84.91,96.73571428571428
2014-04-26,,88.305,96.73571428571428
2014-04-27,,94.08666666666666,96.73571428571428
2014-04-28,70.59,82.42333333333333,94.5342857142857
2014-04-29,108.42,94.75333333333333,97.08071428571428
